montante_financiado,prazo,taxa_de_juros,parcela,tempo_de_emprego,propriedade_de_casa,renda_anual,status_de_verificacao,finalidade,divida_sobre_renda,inadimplencias_2_anos,score_de_credito,numero_de_dependentes,anos_na_residencia_atual
11399.0,Curto,11.0%,374.42,,Empréstimo,58800.0,Fonte Verificada,Consolidação de Dívida,10.1%,0,336.9846743295019,4,7
13983.0,Curto,6.0%,426.72,2 anos,Alugado,72000.0,Fonte Verificada,Consolidação de Dívida,5.3%,0,401.864234549392,4,6
8048.0,Curto,14.1%,279.08,menos de 1 ano,Empréstimo,44000.0,Fonte Verificada,Compra Importante,8.8%,0,350.9985007496252,4,8
7984.0,Longo,12.7%,188.18,mais de 10 anos,Empréstimo,140000.0,Verificado,Cartão de Crédito,18.8%,0,359.39530234882557,0,11
11991.0,Longo,19.4%,323.68,menos de 1 ano,Alugado,60000.0,Fonte Verificada,Consolidação de Dívida,4.9%,2,257.06463434949194,1,8
1056.0,Curto,10.4%,48.24,3 anos,Alugado,13000.0,Verificado,Consolidação de Dívida,24.8%,0,398.9328668998834,1,8
4841.0,Curto,11.5%,165.3,2 anos,Alugado,38400.0,Não Verificado,Casamento,23.8%,2,290.62535398967185,1,2
8529.0,Curto,11.1%,286.42,9 anos,Empréstimo,69000.0,Não Verificado,Carro,23.1%,0,288.66433449941695,4,3
15109.0,Curto,12.6%,507.71000000000004,8 anos,Alugado,28680.0,Verificado,Pequena Empresa,13.1%,0,408.9776778277528,2,12
10069.0,Curto,7.7%,319.85,menos de 1 ano,Alugado,108000.0,Verificado,Compra Importante,9.2%,0,263.2630351490921,0,7
1964.0,Curto,16.9%,80.89,3 anos,Empréstimo,16000.0,Não Verificado,Consolidação de Dívida,16.9%,0,346.1327669498584,1,9
14356.0,Curto,10.4%,464.77000000000004,menos de 1 ano,Alugado,31000.0,Não Verificado,Cartão de Crédito,21.3%,0,503.13226719973346,6,12
7013.0,Curto,14.7%,249.11,2 anos,Alugado,41000.0,Não Verificado,Médica,12.1%,0,313.7986006996502,1,4
12066.0,Curto,14.6%,419.33,4 anos,Próprio,69000.0,Verificado,Cartão de Crédito,15.9%,0,281.66433449941695,4,3
18079.0,Curto,10.6%,590.8299999999999,8 anos,Alugado,82000.0,Não Verificado,Consolidação de Dívida,7.2%,0,388.53056804930867,1,4
18245.0,Longo,19.9%,490.9,7 anos,Empréstimo,60000.0,Verificado,Cartão de Crédito,24.7%,0,458.06463434949194,1,3
6136.0,Curto,8.6%,190.80999999999997,4 anos,Alugado,54000.0,Não Verificado,Outro,12.0%,0,341.6648342495419,5,6
20063.0,Curto,11.1%,664.9499999999999,3 anos,Empréstimo,81400.0,Verificado,Melhoria da Casa,22.7%,0,357.49058803931365,1,12
4370.0,Curto,7.5%,144.01000000000002,mais de 10 anos,Alugado,35000.0,Não Verificado,Cartão de Crédito,21.0%,0,480.39880059970017,2,4
7612.0,Curto,15.3%,266.77,4 anos,Alugado,43000.0,Fonte Verificada,Cartão de Crédito,6.5%,0,372.9318673996335,0,1
9866.0,Curto,12.7%,345.3,mais de 10 anos,Próprio,61000.0,Não Verificado,Outro,13.6%,0,426.1312676994836,0,2
14985.0,Curto,7.5%,472.04999999999995,5 anos,Empréstimo,188300.0,Verificado,Outro,4.6%,0,323.6136931534233,0,12
10003.0,Curto,7.0%,311.96000000000004,2 anos,Empréstimo,36000.0,Não Verificado,Pequena Empresa,13.5%,0,379.4654339496918,6,4
8989.0,Curto,14.7%,310.9,2 anos,Alugado,55000.0,Não Verificado,Cartão de Crédito,13.8%,1,378.7314675995336,3,7
18101.0,Longo,16.5%,443.94,8 anos,Empréstimo,64000.0,Fonte Verificada,Consolidação de Dívida,13.2%,0,276.3311677494586,1,2
11916.0,Curto,6.6%,374.11,4 anos,Alugado,28000.0,Não Verificado,Cartão de Crédito,15.3%,0,270.9323671497585,1,6
9903.0,Curto,11.8%,332.7,9 anos,Alugado,35004.0,Verificado,Consolidação de Dívida,24.1%,0,293.3990671331001,1,12
13476.0,Curto,8.5%,435.21000000000004,7 anos,Empréstimo,74000.0,Fonte Verificada,Cartão de Crédito,21.6%,0,417.9975012493753,5,1
15034.0,Curto,16.8%,541.83,mais de 10 anos,Alugado,40000.0,Verificado,Consolidação de Dívida,19.6%,0,542.7319673496585,2,12
15935.0,Curto,16.5%,569.51,mais de 10 anos,Empréstimo,99000.0,Verificado,Consolidação de Dívida,10.3%,0,257.6633349991671,2,12
5871.0,Curto,5.8%,187.42,2 anos,Empréstimo,127000.0,Fonte Verificada,Melhoria da Casa,6.5%,0,508.52906879893385,5,8
2630.0,Curto,6.4%,84.45,mais de 10 anos,Empréstimo,82800.0,Fonte Verificada,Outro,3.5%,0,282.583874729302,0,6
5982.0,Curto,15.3%,212.45999999999998,3 anos,Alugado,18400.0,Fonte Verificada,Melhoria da Casa,1.8%,0,302.2926869898384,2,4
15028.0,Longo,20.1%,402.88,2 anos,Alugado,35000.0,Fonte Verificada,Consolidação de Dívida,12.5%,1,454.39880059970017,2,9
7030.0,Curto,12.7%,240.82,1 ano,Alugado,23000.0,Não Verificado,Consolidação de Dívida,16.5%,0,437.5992003998001,2,1
5912.0,Curto,14.6%,208.58,mais de 10 anos,Empréstimo,52360.32,Não Verificado,Consolidação de Dívida,22.7%,0,296.55557687822755,1,1
14253.0,Curto,13.7%,496.0,mais de 10 anos,Empréstimo,123000.0,Verificado,Consolidação de Dívida,13.0%,0,467.2625353989672,2,6
7004.0,Curto,9.6%,233.93,6 anos,Alugado,13000.0,Verificado,Consolidação de Dívida,7.2%,0,545.9328668998834,2,12
3781.0,Curto,5.4%,118.32000000000001,mais de 10 anos,Empréstimo,53000.0,Não Verificado,Melhoria da Casa,23.5%,0,336.59820089955025,0,3
27998.0,Longo,13.5%,646.13,mais de 10 anos,Empréstimo,93000.0,Fonte Verificada,Consolidação de Dívida,9.6%,0,533.2635348992171,7,4
19921.0,Curto,15.7%,705.4300000000001,2 anos,Alugado,60500.0,Verificado,Consolidação de Dívida,4.9%,0,324.09795102448777,3,11
11564.0,Curto,11.0%,385.28,3 anos,Empréstimo,53000.0,Fonte Verificada,Consolidação de Dívida,22.2%,0,410.59820089955025,3,4
3077.0,Curto,7.9%,96.32,3 anos,Empréstimo,49000.0,Não Verificado,Pequena Empresa,8.8%,0,332.33166749958355,1,7
10075.0,Longo,14.9%,244.44,5 anos,Empréstimo,49000.0,Não Verificado,Consolidação de Dívida,17.4%,0,377.33166749958355,0,10
2213.0,Curto,9.3%,71.88000000000001,8 anos,Alugado,18004.0,Fonte Verificada,Consolidação de Dívida,24.6%,0,532.2663001832417,2,1
15551.0,Curto,17.3%,567.14,mais de 10 anos,Empréstimo,87000.0,Fonte Verificada,Consolidação de Dívida,7.8%,2,344.86373479926704,0,12
8847.0,Longo,7.5%,178.0,mais de 10 anos,Empréstimo,124000.0,Não Verificado,Cartão de Crédito,14.3%,0,437.32916874895886,5,5
4922.0,Curto,13.8%,178.96,mais de 10 anos,Alugado,54000.0,Não Verificado,Compra Importante,10.2%,0,278.6648342495419,2,3
4911.0,Longo,13.0%,114.1,6 anos,Alugado,48000.0,Não Verificado,Carro,8.2%,0,337.2650341495919,0,10
29954.0,Longo,13.4%,695.24,5 anos,Empréstimo,108000.0,Verificado,Cartão de Crédito,25.7%,0,314.2630351490921,2,11
12021.0,Longo,15.2%,293.27,6 anos,Empréstimo,73000.0,Não Verificado,Consolidação de Dívida,20.6%,0,439.93086789938366,4,1
25147.0,Curto,15.6%,874.43,4 anos,Empréstimo,73000.0,Verificado,Consolidação de Dívida,9.2%,0,320.93086789938366,1,3
4927.0,Longo,21.3%,143.36,3 anos,Alugado,47000.0,Verificado,Consolidação de Dívida,6.1%,0,463.1984007996002,1,7
5968.0,Curto,11.3%,201.26000000000002,1 ano,Empréstimo,32000.0,Não Verificado,Consolidação de Dívida,10.1%,0,509.1989005497251,1,6
9936.0,Curto,8.9%,325.01000000000005,5 anos,Alugado,37996.0,Verificado,Outro,18.5%,0,508.5984341162752,0,3
2509.0,Longo,7.3%,53.42,mais de 10 anos,Empréstimo,41872.0,Não Verificado,Carro,7.4%,0,297.8567049808429,10,5
8112.0,Curto,12.7%,269.72999999999996,5 anos,Empréstimo,421000.0,Não Verificado,Consolidação de Dívida,2.0%,0,509.1192736964851,0,7
15278.0,Curto,11.1%,506.49,9 anos,Empréstimo,111000.0,Não Verificado,Consolidação de Dívida,8.7%,0,404.46293519906715,3,11
24883.0,Longo,17.9%,637.97,mais de 10 anos,Empréstimo,700053.85,Fonte Verificada,Consolidação de Dívida,2.1%,0,356.7135665500583,3,4
7650.0,Curto,14.6%,266.75,menos de 1 ano,Alugado,24324.0,Verificado,Consolidação de Dívida,17.6%,0,549.687422955189,0,6
5939.0,Curto,10.7%,196.41,6 anos,Alugado,26400.0,Não Verificado,Consolidação de Dívida,17.5%,0,531.8257537897719,2,4
2405.0,Curto,9.6%,85.98,menos de 1 ano,Empréstimo,74000.0,Não Verificado,Melhoria da Casa,20.0%,0,499.9975012493753,0,12
9415.0,Curto,8.1%,306.15000000000003,2 anos,Próprio,92000.0,Não Verificado,Outro,2.4%,0,531.1969015492255,1,6
12108.0,Longo,8.5%,252.77,3 anos,Alugado,61000.0,Verificado,Consolidação de Dívida,19.8%,0,544.1312676994836,1,9
12024.0,Curto,7.3%,373.76,mais de 10 anos,Alugado,32400.0,Fonte Verificada,Consolidação de Dívida,22.9%,0,321.2255538897218,3,6
4364.0,Curto,6.0%,141.58,4 anos,Alugado,40000.0,Fonte Verificada,Pequena Empresa,19.0%,0,373.7319673496585,4,11
9140.0,Longo,16.4%,224.12,4 anos,Empréstimo,67000.0,Não Verificado,Consolidação de Dívida,23.7%,0,376.53106779943363,2,8
6339.0,Curto,5.4%,195.49,mais de 10 anos,Próprio,36000.0,Não Verificado,Consolidação de Dívida,11.0%,0,297.4654339496918,0,1
2471.0,Curto,14.7%,95.97,9 anos,Alugado,65000.0,Fonte Verificada,Consolidação de Dívida,8.2%,0,318.39780109945025,2,7
6496.0,Curto,16.8%,232.76999999999998,5 anos,Alugado,73000.0,Não Verificado,Consolidação de Dívida,20.2%,0,471.93086789938366,1,8
6103.0,Curto,6.5%,198.87,1 ano,Alugado,43000.0,Fonte Verificada,Cartão de Crédito,11.0%,0,420.9318673996335,5,7
4797.0,Curto,13.8%,168.51,menos de 1 ano,Empréstimo,16800.0,Não Verificado,Outro,11.6%,1,271.18607362985176,0,5
3869.0,Longo,14.2%,101.33000000000001,menos de 1 ano,Alugado,27000.0,Verificado,Consolidação de Dívida,20.8%,1,548.8657337997668,4,12
22398.0,Curto,14.1%,766.89,6 anos,Alugado,83996.0,Verificado,Outro,7.8%,0,393.66356821589204,0,12
16102.0,Longo,6.9%,319.09000000000003,mais de 10 anos,Empréstimo,41000.0,Verificado,Melhoria da Casa,6.2%,0,467.7986006996502,2,5
16035.0,Longo,18.3%,416.12,3 anos,Alugado,151000.0,Verificado,Consolidação de Dívida,10.9%,0,460.12826919873396,1,3
10051.0,Curto,6.6%,315.96000000000004,2 anos,Empréstimo,66000.0,Fonte Verificada,Consolidação de Dívida,7.2%,0,270.46443444944197,1,3
5492.0,Curto,16.3%,193.49,1 ano,Alugado,31000.0,Não Verificado,Médica,20.0%,0,507.13226719973346,8,11
5481.0,Longo,13.2%,129.63000000000002,8 anos,Alugado,79300.0,Fonte Verificada,Pequena Empresa,13.4%,1,492.3506580043312,9,1
15016.0,Longo,16.3%,373.4,2 anos,Empréstimo,129000.0,Verificado,Melhoria da Casa,4.0%,0,387.66233549891723,1,1
7054.0,Curto,9.4%,225.69,1 ano,Empréstimo,93000.0,Não Verificado,Outro,10.9%,0,382.26353489921706,0,6
9857.0,Curto,8.5%,315.71999999999997,2 anos,Alugado,52000.0,Fonte Verificada,Consolidação de Dívida,19.1%,1,510.53156754955853,0,10
12121.0,Curto,7.9%,378.83,menos de 1 ano,Alugado,39900.0,Verificado,Consolidação de Dívida,2.9%,0,502.72530401465934,1,1
1962.0,Curto,12.5%,75.36,mais de 10 anos,Próprio,58000.0,Não Verificado,Outro,9.6%,0,400.93136764950856,0,1
7909.0,Curto,14.7%,277.83000000000004,2 anos,Alugado,69000.0,Verificado,Cartão de Crédito,10.5%,1,327.66433449941695,3,12
34019.0,Curto,17.6%,1227.42,4 anos,Alugado,66000.0,Verificado,Consolidação de Dívida,16.9%,0,378.46443444944197,4,6
13886.0,Curto,8.5%,441.3,2 anos,Alugado,82000.0,Não Verificado,Cartão de Crédito,14.2%,0,337.53056804930867,3,5
6005.0,Curto,8.9%,196.06,3 anos,Alugado,30000.0,Não Verificado,Outro,14.7%,0,528.0656338497417,1,1
