montante_financiado,prazo,taxa_de_juros,parcela,tempo_de_emprego,propriedade_de_casa,renda_anual,status_de_verificacao,status_do_emprestimo,finalidade,divida_sobre_renda,inadimplencias_2_anos,score_de_credito,numero_de_dependentes,anos_na_residencia_atual
20052.0,Curto,14.3%,691.79,mais de 10 anos,Empréstimo,72000.0,Verificado,Pago,Cartão de Crédito,6.2%,0,282.864234549392,1,5
29935.0,Longo,16.8%,744.27,mais de 10 anos,Empréstimo,88000.0,Verificado,Não Pago,Cartão de Crédito,7.1%,0,321.9303681492587,3,12
1095.0,Curto,7.3%,38.89,4 anos,Alugado,16200.0,Fonte Verificada,Não Pago,Casa,25.5%,0,263.14609361985674,0,5
8062.0,Longo,16.0%,202.39,mais de 10 anos,Alugado,39000.0,Fonte Verificada,Não Pago,Consolidação de Dívida,23.6%,1,503.6653339996668,7,2
4944.0,Curto,14.3%,177.96,5 anos,Alugado,80996.0,Não Verificado,Pago,Outro,9.3%,0,506.46366816591706,4,4
1106.0,Curto,13.1%,41.99,5 anos,Alugado,25600.0,Não Verificado,Pago,Cartão de Crédito,24.2%,0,304.77244710977845,7,4
3122.0,Curto,7.9%,105.94999999999999,,Empréstimo,48000.0,Não Verificado,Não Pago,Consolidação de Dívida,27.1%,0,496.2650341495919,1,11
7977.0,Curto,12.7%,277.59999999999997,7 anos,Empréstimo,98220.0,Fonte Verificada,Não Pago,Consolidação de Dívida,3.2%,0,503.61136098617357,0,5
2109.0,Curto,14.6%,69.24000000000001,mais de 10 anos,Alugado,79000.0,Fonte Verificada,Pago,Compra Importante,6.2%,0,278.3306679993337,1,7
19970.0,Curto,17.7%,722.2299999999999,mais de 10 anos,Empréstimo,85000.0,Não Verificado,Não Pago,Consolidação de Dívida,2.9%,1,274.7304680992837,3,11
9999.0,Curto,11.5%,332.58000000000004,3 anos,Empréstimo,60000.0,Verificado,Não Pago,Pequena Empresa,13.5%,0,527.0646343494919,2,5
2182.0,Curto,13.2%,84.03999999999999,menos de 1 ano,Alugado,10000.0,Fonte Verificada,Pago,Compra Importante,4.8%,1,506.7329668499084,2,12
14964.0,Curto,15.3%,526.55,2 anos,Empréstimo,99996.0,Fonte Verificada,Não Pago,Consolidação de Dívida,8.9%,0,501.7297018157588,0,7
